地域コード,都道府県,総人口,日本人人口,15歳未満人口,15～64歳人口,65歳以上人口,外国人人口,出生数,合計特殊出生率,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,一般世帯数,一般世帯人員数,単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,自然公園面積,県内総生産額（平成23年基準）,県民所得（平成23年基準）,1人当たり県民所得（平成23年基準）,事業所数（民営）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（情報通信業）,事業所数（民営）（卸売業，小売業）,事業所数（民営）（宿泊業，飲食サービス業）,事業所数（民営）（生活関連サービス業，娯楽業）,事業所数（民営）（医療，福祉）,従業者数（民営）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（情報通信業）,従業者数（民営）（卸売業，小売業）,従業者数（民営）（宿泊業，飲食サービス業）,従業者数（民営）（生活関連サービス業，娯楽業）,従業者数（民営）（医療，福祉）,農家数（販売農家）,農家数（自給的農家）,耕地面積,旅館営業施設数（ホテルを含む）,旅館営業施設客室数（ホテルを含む）,幼稚園数,幼稚園在園者数,小学校数,小学校児童数,中学校数,中学校生徒数,高等学校数,高等学校生徒数,短期大学数,大学数,短期大学学生数,大学学生数,公民館数,図書館数,博物館数,社会体育施設数,民間体育施設数,映画館数,劇場，音楽堂等数,一般旅券発行件数,延べ宿泊者数,外国人延べ宿泊者数,総住宅数,空き家数,持ち家数,一戸建住宅数,1住宅当たり延べ面積,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,ごみ総排出量（総量）,1人1日当たりの排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（詳細票）,保育所等在所児数（詳細票）,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,教養娯楽費（二人以上の世帯）
R18000,福井県,766863,746068,95544,427984,232684,13796,5313,1.56,9286,8492,10800,290692,746456,86282,3029,1052,419052,107728,61912,3323602,2542060,3265,41644,4743,5292,322,10543,5288,3577,2491,377238,32043,82745,5047,73107,32923,14326,47565,9777,6281,40000,949,15959,67,1311,196,40177,82,21170,35,21221,1,6,459,10068,207,37,19,487,88,5,21,5136,2063560,16360,325400,45000,209200,214200,138.43,780905,32914,275483,964,14.3,7892,4058,101,57,573,300,2057,445,1466,280,25400,253715,75628,12243,23553
R19000,山梨県,809974,786673,91629,453633,245884,13993,5184,1.44,9796,12532,13890,338057,789586,110192,3182,1296,446527,95311,121207,3431756,2447366,2973,42387,4418,4535,287,9999,6185,3661,2839,366320,25886,77414,4124,71342,42258,17918,44406,14178,13808,23400,1331,26332,56,3841,177,39153,93,21202,43,23384,3,7,1044,16126,282,53,26,619,305,5,22,5711,3433690,201510,422000,90000,231000,243000,111.94,827674,32443,298771,986,16.7,7614,4501,127,52,698,435,2016,608,1797,231,19834,290406,76623,16718,26373
R20000,長野県,2048011,1997083,242873,1118429,646942,31491,12864,1.57,25428,26050,28131,829979,1998549,257508,7701,2910,1356156,324893,277922,8441677,6102449,2940,106030,11854,10890,902,24779,15521,8641,7187,928421,67071,208904,11713,178906,96948,38176,118377,40510,49276,105300,2620,63713,93,8775,365,103666,195,55507,100,54280,9,10,2415,16388,1802,126,83,1978,550,13,46,14736,8217340,323580,1007900,197300,574700,590500,121.62,2086651,129655,623271,816,20.5,18695,10643,293,112,1574,1013,5035,1660,4493,568,49131,270419,72276,20126,24597
R21000,岐阜県,1978742,1900727,240520,1105215,593751,48979,12092,1.45,22720,24615,30312,779029,1937236,228715,7003,2834,1062129,221063,195093,7768874,5720734,2849,98527,10213,13734,553,24132,12283,8415,6834,880780,60542,217881,6603,172194,83662,39642,104161,19924,29012,55500,1098,25461,164,19001,367,104118,185,54433,81,52577,11,13,3596,19827,273,71,20,1071,180,7,46,15386,3408440,193210,893900,139800,557100,558400,121.77,1996003,89363,653280,894,17.2,17961,10447,232,86,1587,968,4416,1706,3921,417,36665,304271,76629,18816,27896
R22000,静岡県,3633202,3523817,438723,2071258,1084282,86046,22497,1.44,42191,48690,54270,1480969,3551043,472201,13846,5474,777735,277474,84045,17277470,12453711,3388,172031,17654,19526,1261,43072,21959,15177,11659,1712983,104563,434418,19333,320648,160459,71704,186755,24426,26310,62800,2841,70454,366,34376,509,187254,293,97950,138,94652,6,13,1991,33809,64,96,43,1368,715,17,54,29117,11714450,213160,1714700,281600,955300,940700,103.15,3711481,73887,1201647,885,18.2,31769,18008,512,144,2732,1761,7948,2446,8320,655,64221,281343,79406,17084,24461
R23000,愛知県,7542415,7164758,973642,4502713,1864603,231369,55613,1.45,70518,105208,107475,3233126,7412091,1175221,35390,11713,517307,299576,88881,40299791,27728182,3685,309867,27178,35817,3400,77110,40412,25852,22765,3749904,216916,904736,78194,737389,340741,145996,365603,25906,35149,73700,1202,66925,419,71105,969,410482,440,206920,222,190309,19,51,6800,177380,352,98,42,1768,756,34,77,81639,9598320,567600,3481800,393800,1826000,1564800,95.01,7573172,111265,2536734,915,21.3,51577,35847,1087,286,5455,3735,16894,5738,15446,1479,156863,282283,78351,13305,26949
R24000,三重県,1770254,1698876,211090,997052,522073,44721,11141,1.47,20716,25108,29419,741183,1728038,244698,6855,2759,577449,206415,208394,8227235,5599467,3111,77168,7884,7615,432,19577,9293,6846,5647,801130,46690,207599,5148,146316,74466,37096,98616,18062,15468,58000,1293,30664,179,12874,372,91910,168,47472,70,45829,4,7,1415,14064,323,47,20,656,459,10,36,14679,4484250,46820,853700,129600,518700,524900,110.42,1812396,100928,628172,947,23.1,15252,7547,251,81,1519,822,4159,1176,3511,432,39806,285114,73364,15410,26012
R25000,滋賀県,1413610,1359501,191369,824781,365311,28704,10437,1.47,13039,24935,25427,570529,1391113,182011,5878,2050,401738,129957,149957,6533239,4646647,3290,55262,5913,5604,357,13178,5894,4575,4342,602600,31636,163562,3773,109771,54156,24072,70410,13807,8164,51200,500,14942,132,11436,220,81054,103,40601,56,37868,3,9,825,31100,90,50,18,576,128,7,35,13938,2484390,53770,626000,81200,389000,366100,115.49,1420129,44612,435270,837,17.8,10420,4766,209,50,1091,565,3386,794,3245,315,34089,304172,81180,12435,29293
R26000,京都府,2578087,2460764,293465,1467216,734493,52442,16440,1.25,26860,51753,55681,1188903,2523758,489815,10197,3742,461220,117729,94896,10799617,7845179,3018,113774,8525,13556,963,29033,15200,9097,8740,1137370,50409,182901,14576,247308,125617,46064,163193,13616,11337,29800,995,43379,197,22094,371,121712,190,65443,110,67847,11,34,3433,141870,154,68,41,672,257,13,32,30960,11249850,1167800,1338300,171800,710400,641200,86.93,2602082,81637,796455,836,15.7,21801,12920,425,154,2451,1299,8847,1930,6518,509,57297,253880,79072,8686,23448
R27000,大阪府,8837685,8411856,1029499,5199504,2361723,208681,61878,1.31,91644,159317,145935,4126995,8659723,1727107,40989,14832,190532,133405,20039,40069967,28081842,3183,392940,25089,42680,5842,99597,52979,29366,34357,4393139,222338,604086,139601,1002387,415766,169344,574571,7413,13400,12500,1477,112900,569,78517,996,427884,519,220342,256,214115,23,55,9575,226452,199,147,37,1180,360,37,67,110991,15261570,2118590,4680200,709400,2160900,1607400,76.98,8846884,119839,3084929,953,13.1,62883,47502,1390,475,8533,5517,25552,7865,26278,1531,160537,246247,76729,18912,19294
